OBJECTID,NAME_OF_SE,ALT_NAME,STREETNAME,WARD_S,PLANNING_U,LATITUDE,LONGITUDE,REGION,WATER_SUPP,SANITATION,REFUSE,ELECTRIC_2,UNIREFCODE,EST_HHC,NUSP_CAT,SHAPE_Length,SHAPE_Area
1,Amatikwe, ,MR93 North,56/108,Amatikwe,"-29,6847594568261","30,9331993743659",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0005,3250,B1,0.220758814885123,0.000223082616564589
2,Congo Phase 2,Congo Phase 2,MR93 /MR93 North,55/57,Inanda Congo,"-29,6930565996813","30,9524428875002",Northern,Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0037,758,B1,0.0438277722781698,2.69850783732054e-05
3,Africa Inanda,Africa,Curnick Ndlovu Highway,55,Ohlange-Africa / Stop 8,"-29,700492743755","30,9486579023242",Northern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0002,627,B1,0.0221162836325124,2.63939283238213e-05
4,Namibia, ,Curnick Ndlovu Highway / Matshana Road,108/44,Inanda Namibia,"-29,703771886581","30,9335017254606",Northern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0145,1508,B1,0.0380441597426509,6.32246004397624e-05
5,Mshayazafe, ,Sidudla Road,55,Mshayazafe / Ohlange - Africa,"-29,7066784039778","30,9469610275001",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0140,349,B1,0.0189374411761917,1.29936995512438e-05
6,Ntuzuma - E1, ,Ithendele Drive,44/43,Emachobeni / Ntuzuma - E / Inanda Glebe,"-29,7226600304074","30,9207622047174",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0151,261,B1,0.0226833960216455,1.70736887702641e-05
7,Ntuzuma - E8, ,121829 Street,44/43,Emachobeni / Ntuzuma - E,"-29,7275669099481","30,9221578087933",Northern,Standpipes,Pit Privies,C&SW contractor,Yes,I0152,402,B1,0.0249123369601404,2.28563920131418e-05
8,Smithfield, ,Smithfield Road,34,Sea Cow Lake,"-29,7928102569667","31,0028647844833",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0190,235,B1,0.0101313878897409,4.70938428181606e-06
9,Johanna Road, ,Johanna Road / Boxwood Place,34,Sea Cow Lake,"-29,7974985831216","30,9946111650077",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0579,488,C,0.00764956034952972,2.49528208391828e-06
10,Triumph/ Myhill Roads (Jamaica), ,Triumph Road / Myhill Road / Maynard Road,34,Sea Cow Lake,"-29,7981610430836","31,0016123135001",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0200,922,B1,0.0188901021625384,7.26342632482255e-06
11,Gumtree Road (Kenville), ,Gumtree Road,34,Sea Cow Lake,"-29,7988205376058","31,0051515688531",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0083,416,B1,0.00986778590157905,3.4287728698276e-06
12,Mysore Road (Temple), ,Mysore Road (Temple),34,Sea Cow Lake,"-29,8006240606941","31,0013601092544",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0143,376,B2,0.0114361007801866,3.18990217003136e-06
